! Organ_ID Material_ID Density(g/cm^3) | nº of lines does not count header
0    53    0.001
1    43    1.030
2    43    1.030
3    45    1.030
4    45    1.030
5    29    1.050
6    29    1.050
7    45    1.030
8    45    1.030
9    28    1.060
10    28    1.060
11    28    1.060
12    28    1.060
13     2    1.920
14     3    1.185
15    22    0.980
16     2    1.920
17     4    1.117
18    23    0.980
19     2    1.920
20     5    1.117
21    24    0.980
22     2    1.920
23     6    1.117
24     2    1.920
25     7    1.191
26     2    1.920
27     8    1.245
28     2    1.920
29     9    1.046
30    22    0.980
31     2    1.920
32    10    1.117
33    23    0.980
34     2    1.920
35    11    1.117
36    25    0.980
37     2    1.920
38    12    1.117
39     2    1.920
40    13    1.189
41     2    1.920
42    14    1.109
43     2    1.920
44    15    1.092
45     2    1.920
46    16    1.128
47     2    1.920
48    17    1.135
49     2    1.920
50    18    1.084
51     2    1.920
52    19    1.171
53     2    1.920
54    20    1.052
55     2    1.920
56    21    1.076
57    26    1.100
58    26    1.100
59    26    1.100
60    26    1.100
61    32    1.050
62    49    0.950
63    48    1.020
64    49    0.950
65    48    1.020
66    34    1.050
67    34    1.050
68    34    1.050
69    34    1.050
70    45    1.030
71    45    1.030
72    36    1.040
73    51    1.040
74    37    1.040
75    51    1.040
76    38    1.040
77    51    1.040
78    38    1.040
79    51    1.040
80    38    1.040
81    51    1.040
82    38    1.040
83    51    1.040
84    38    1.040
85    51    1.040
86    38    1.040
87    33    1.050
88    28    1.060
89    35    1.050
90    35    1.050
91    35    1.050
92    35    1.050
93    35    1.050
94    35    1.050
95    30    1.050
96    54    1.060
97    50    0.385
98    54    1.060
99    50    0.385
100   47    1.030
101   47    1.030
102   47    1.030
103   47    1.030
104   47    1.030
105   47    1.030
106   29    1.050
107   29    1.050
108   29    1.050
109   29    1.050
110   44    1.030
111   42    1.040
112   42    1.040
113   31    1.050
114   45    1.030
115   46    1.030
116   49    0.950
117   49    0.950
118   49    0.950
119   49    0.950
120   45    1.030
121   45    1.030
122   27    1.090
123   27    1.090
124   27    1.090
125   27    1.090
126   45    1.030
127   39    1.040
128    1    2.750
129   42    1.040
130   42    1.040
131   45    1.030
132   40    1.040
133   29    1.050
134   45    1.030
135   45    1.030
136   45    1.030
137   41    1.040
138   52    1.040
139   46    1.030
140   53    0.001
141   53    0.001
